ImageID,OT_value,OT_similarity,OT_row_cost
BraTS-GLI-00299-000.npz,0.9559482932090759,0.9559482932090759,0.0039594112895429134
BraTS-GLI-00300-000.npz,0.42083895206451416,0.42083895206451416,0.008677903562784195
BraTS-GLI-00301-000.npz,0.608130693435669,0.608130693435669,0.007026400417089462
BraTS-GLI-00303-000.npz,0.42681336402893066,0.42681336402893066,0.008625222370028496
BraTS-GLI-00304-000.npz,0.41978782415390015,0.41978782415390015,0.008687172085046768
BraTS-GLI-00305-000.npz,0.8717366456985474,0.8717366456985474,0.004701973404735327
BraTS-GLI-00306-000.npz,0.4301100969314575,0.4301100969314575,0.008596152067184448
BraTS-GLI-00309-000.npz,0.9161784648895264,0.9161784648895264,0.004310093820095062
BraTS-GLI-00310-000.npz,0.9506949186325073,0.9506949186325073,0.004005734343081713
BraTS-GLI-00311-000.npz,0.8031843900680542,0.8031843900680542,0.005306454375386238
BraTS-GLI-00312-000.npz,0.9423081874847412,0.9423081874847412,0.004079686943441629
BraTS-GLI-00313-000.npz,0.767387866973877,0.767387866973877,0.00562210101634264
BraTS-GLI-00317-000.npz,0.9374331831932068,0.9374331831932068,0.004122673999518156
BraTS-GLI-00320-000.npz,0.7884474396705627,0.7884474396705627,0.005436401814222336
BraTS-GLI-00321-000.npz,0.7769380807876587,0.7769380807876587,0.005537889432162046
BraTS-GLI-00322-000.npz,0.6347593069076538,0.6347593069076538,0.006791593972593546
BraTS-GLI-00324-000.npz,0.9371926784515381,0.9371926784515381,0.0041247946210205555
BraTS-GLI-00327-000.npz,0.5153014659881592,0.5153014659881592,0.007844951003789902
BraTS-GLI-00328-000.npz,0.6496774554252625,0.6496774554252625,0.006660048849880695
BraTS-GLI-00329-000.npz,0.6314719915390015,0.6314719915390015,0.006820580922067165
BraTS-GLI-00331-000.npz,0.9038096070289612,0.9038096070289612,0.004419160075485706
BraTS-GLI-00334-000.npz,0.46505075693130493,0.46505075693130493,0.008288051933050156
BraTS-GLI-00336-000.npz,0.6714894771575928,0.6714894771575928,0.006467714905738831
BraTS-GLI-00338-000.npz,0.8605872392654419,0.8605872392654419,0.004800287075340748
BraTS-GLI-00340-000.npz,0.7984575033187866,0.7984575033187866,0.005348134785890579
BraTS-GLI-00341-000.npz,0.7869088649749756,0.7869088649749756,0.0054499683901667595
BraTS-GLI-00343-000.npz,0.8811886310577393,0.8811886310577393,0.004618627950549126
BraTS-GLI-00344-000.npz,0.5823683738708496,0.5823683738708496,0.007253567688167095
BraTS-GLI-00349-000.npz,0.9032647013664246,0.9032647013664246,0.004423965234309435
BraTS-GLI-00351-000.npz,0.9431836009025574,0.9431836009025574,0.004071968141943216
BraTS-GLI-00352-000.npz,0.9492103457450867,0.9492103457450867,0.004018825478851795
BraTS-GLI-00353-000.npz,0.7315356731414795,0.7315356731414795,0.005938238929957151
BraTS-GLI-00356-000.npz,0.71318519115448,0.71318519115448,0.006100050173699856
BraTS-GLI-00359-000.npz,0.43100255727767944,0.43100255727767944,0.008588282391428947
BraTS-GLI-00360-000.npz,0.7726019620895386,0.7726019620895386,0.005576124414801598
BraTS-GLI-00364-000.npz,0.778717041015625,0.778717041015625,0.005522202700376511
BraTS-GLI-00366-000.npz,0.5220443606376648,0.5220443606376648,0.007785493042320013
BraTS-GLI-00367-000.npz,0.9308789372444153,0.9308789372444153,0.004180468153208494
BraTS-GLI-00369-000.npz,0.8931479454040527,0.8931479454040527,0.004513172898441553
BraTS-GLI-00371-000.npz,0.7263983488082886,0.7263983488082886,0.005983538925647736
BraTS-GLI-00373-000.npz,0.4033890962600708,0.4033890962600708,0.008831772953271866
BraTS-GLI-00375-000.npz,0.8207226991653442,0.8207226991653442,0.005151805002242327
BraTS-GLI-00376-000.npz,0.7405350208282471,0.7405350208282471,0.005858884193003178
BraTS-GLI-00377-000.npz,0.8253353834152222,0.8253353834152222,0.005111130885779858
BraTS-GLI-00382-000.npz,0.4989607334136963,0.4989607334136963,0.007989040575921535
BraTS-GLI-00383-000.npz,0.762403130531311,0.762403130531311,0.005666055250912905
BraTS-GLI-00386-000.npz,0.563122034072876,0.563122034072876,0.007423277944326401
BraTS-GLI-00387-000.npz,0.18381935358047485,0.18381935358047485,0.01076789665967226
BraTS-GLI-00389-000.npz,0.7558420300483704,0.7558420300483704,0.005723909940570593
BraTS-GLI-00390-000.npz,0.8710313439369202,0.8710313439369202,0.004708192776888609
BraTS-GLI-00391-000.npz,0.45590054988861084,0.45590054988861084,0.008368737064301968
BraTS-GLI-00392-000.npz,0.4751560091972351,0.4751560091972351,0.00819894578307867
BraTS-GLI-00395-000.npz,0.8691515922546387,0.8691515922546387,0.004724767990410328
BraTS-GLI-00397-000.npz,0.7140353322029114,0.7140353322029114,0.0060925534926354885
BraTS-GLI-00400-000.npz,0.7832157015800476,0.7832157015800476,0.005482534412294626
BraTS-GLI-00402-000.npz,0.7859290838241577,0.7859290838241577,0.005458608269691467
BraTS-GLI-00404-000.npz,0.47402358055114746,0.47402358055114746,0.008208931423723698
BraTS-GLI-00405-000.npz,0.91349858045578,0.91349858045578,0.004333724733442068
BraTS-GLI-00406-000.npz,0.40725767612457275,0.40725767612457275,0.00879766047000885
BraTS-GLI-00407-000.npz,0.8777925968170166,0.8777925968170166,0.0046485732309520245
BraTS-GLI-00409-000.npz,0.6270370483398438,0.6270370483398438,0.006859687622636557
BraTS-GLI-00410-000.npz,0.6566601991653442,0.6566601991653442,0.0065984767861664295
BraTS-GLI-00413-000.npz,0.4625013470649719,0.4625013470649719,0.008310532197356224
BraTS-GLI-00414-000.npz,0.754827082157135,0.754827082157135,0.00573285948485136
BraTS-GLI-00416-000.npz,0.34429430961608887,0.34429430961608887,0.009352859109640121
BraTS-GLI-00418-000.npz,0.8872643709182739,0.8872643709182739,0.004565053153783083
BraTS-GLI-00419-000.npz,0.898419201374054,0.898419201374054,0.0044666919857263565
BraTS-GLI-00421-000.npz,0.43281638622283936,0.43281638622283936,0.008572288788855076
BraTS-GLI-00423-000.npz,0.7668625712394714,0.7668625712394714,0.00562673294916749
BraTS-GLI-00425-000.npz,0.35040414333343506,0.35040414333343506,0.009298983961343765
BraTS-GLI-00430-000.npz,0.583715558052063,0.583715558052063,0.007241688668727875
BraTS-GLI-00432-000.npz,0.9409095048904419,0.9409095048904419,0.004092020448297262
BraTS-GLI-00433-000.npz,0.6887102127075195,0.6887102127075195,0.006315865553915501
BraTS-GLI-00436-000.npz,0.9563050866127014,0.9563050866127014,0.003956265281885862
BraTS-GLI-00440-000.npz,0.9371768236160278,0.9371768236160278,0.004124934785068035
BraTS-GLI-00441-000.npz,0.31984442472457886,0.31984442472457886,0.009568453766405582
BraTS-GLI-00442-000.npz,0.4623786211013794,0.4623786211013794,0.008311614394187927
BraTS-GLI-00445-000.npz,0.8825098276138306,0.8825098276138306,0.004606977570801973
BraTS-GLI-00446-000.npz,0.911880373954773,0.911880373954773,0.004347993992269039
BraTS-GLI-00448-000.npz,0.7879109978675842,0.7879109978675842,0.005441132001578808
BraTS-GLI-00449-000.npz,0.8971450924873352,0.8971450924873352,0.004477926529943943
BraTS-GLI-00452-000.npz,0.5854778289794922,0.5854778289794922,0.007226148620247841
BraTS-GLI-00455-000.npz,0.868679404258728,0.868679404258728,0.004728931467980146
